install_datetime,player_id,platform,country,screen_size,system_memory
45:16.1,5EBDFF6D66C42698F132C01DC026573D,android,US,5.711999893,3616
59:46.2,A0B2352754DBC05198E6917F1C24A83F,ios,AU,6.054062366,3851
09:26.5,FE5DB1168E0C3A057CD6FFA0474599F5,android,US,5.316274643,5627
57:05.8,25008EB8E0F7E7694C412AE47F125B21,ios,US,6.054062366,3851
40:11.9,40798E31D33D6E4968BD8E916C116722,android,US,5.777590275,7461
00:20.0,74401D91B27A6E50C97EB0786F68E362,android,US,7.075486183,2611
45:39.1,3492FAA51CDDE6688E02A4AA4B1CA05A,android,US,5.696880341,10312
00:13.2,65924618C824E8F0374F96D716863120,ios,US,6.055348396,3849
04:45.6,DF1610D93209562954730164FE997608,ios,US,5.858579636,3768
30:34.6,EF8B3D65E832A5E300461AB4E331F842,android,US,5.031152725,3617
05:23.3,ED13191E7A10807C71B48A2F4AE3C240,ios,US,12.93333435,7486
08:05.8,4FE29C26D2157AD598528D720CF66C7E,ios,US,4.694409847,989
12:42.4,5E6CB15FC2606AB17DA7658317DE7F40,ios,US,6.055348396,3851
46:21.0,90F1994F53AC828B93B0AAE5FC5A83C6,ios,US,6.06359005,3671
57:39.8,EFD959EEAB56D1C71D718DF3C0155F8D,ios,US,6.055348396,3858
13:33.8,FFEA02C487414358D16D1FE615C258F2,ios,AU,10.22727299,2941
54:54.2,D2B3C9D7AFA22656BD8128F943BE2C75,ios,US,6.055348396,2838
56:10.5,06982FFE02797D8C73F8685AD7C45C57,ios,US,6.686021805,5676
21:16.3,7911E3E95220DD6CD68865B6C192EDF1,ios,US,10.22727299,2952
18:31.4,F1F153C458C4100493CEBF2E252610BA,ios,US,5.410487652,3675
18:52.7,406C16C2FA0B51D4ACF8EB27B1D58B57,android,US,6.016483307,3658
48:15.2,19B307EFAB20D1CDBC2568A2132647D4,ios,US,6.055348396,2838
46:01.6,481796D563E47316B270DD60CE306A3E,android,US,5.692717075,3633
09:11.2,6205D7E3BCE6877EF1C4802A715EA136,android,US,5.711999893,2734
34:40.4,2825B46240776EDB225831C134668CA7,android,US,5.229605198,7228
56:22.6,0ACB37164851E304ECA1BF5DA0208BA6,android,GB,9.718253136,3708
42:03.8,621ACB9BB0DCE4051F142D8B7FEA01D2,ios,US,6.055348396,3851
43:13.1,24BFCCCDDE75D5838CC70BE3B2C8A4AA,ios,US,9.696969986,1980
57:20.8,18EB12146D62A0E0E9446D16A1EB7A6D,ios,US,6.06359005,3671
22:34.4,852410EEF60C50946C6CB95A32570691,ios,US,6.682057381,5676
05:15.4,B864CE4EF3964F3A41BF963C0BF6DF39,android,GB,9.433980942,1781
45:12.0,95C4FDBEE71E076C703131323E092372,ios,US,8.282208443,2997
46:59.4,6E0F3829A833F1207302BA1C336DC209,ios,US,4.694409847,2964
17:35.3,2FF7192B2976E8CC25B364BA71DD5168,ios,GB,6.055348396,2845
42:23.3,BCCE5C365E293E85AFE9F299E4027BCB,ios,US,6.055348396,3851
53:44.5,68B5D8412FE375CC146419B333A41B90,ios,US,4.694409847,2000
37:48.6,1F28AA389D22A4913847E889C31CF09E,android,US,5.610829353,3592
47:03.0,242BDFEA3C20756C945B90474A1295B0,android,US,6.019712448,3725
